행정구역코드,아파트비율_퍼센트
31280390,2.83
31280510,45.24
31280520,69.13
31280530,60.6
31350110,46.55
31350120,48.71
31350310,2.44
31350320,16.15
31350330,0.0
31350340,0.0
31350350,0.0
31350360,11.33
31350370,0.0
31350380,0.0
31370110,45.35
31370310,6.64
31370320,31.01
31370330,1.32
31370350,2.95
31370360,9.91
31380110,53.52
31380310,32.6
31380320,0.0
31380330,13.74
31380340,2.8
31380350,0.0
31380360,0.0
31380370,0.0
31380380,1.0
31380390,0.0
31380400,25.68
31380410,1.08
