dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
31013550,우만2동,0,806373.9123451172,7.109493357817192,2.889522560724353,9.16957457668188,0,2400,10986,3416,4981,1168,87.0,0,0
31013560,인계동,0,2919529.8222320825,15.58156387238284,1.3097042640140224,8.126476962069713,0,5719,31613,8276,47946,9130,71.39,2,0
31013670,매교동,0,723059.4262438224,11.437529447782197,3.247210859392847,9.02902283522757,0,4121,13911,3422,3702,1292,84.11,1,0
31013680,매산동,0,831471.8674998013,22.4478474217757,1.411106094317935,10.776205535947572,1,777,6129,2972,11681,3091,45.54,2,5
31013690,고등동,0,1013302.870482598,5.461899308946148,2.171350370699329,16.905178626541257,1,2968,12266,4669,2968,1260,65.4,2,5
31013700,화서1동,0,954281.7774610998,8.20502394340708,2.561201212327397,21.91419856559977,0,2943,12087,6184,4875,1915,41.75,0,0
31013710,화서2동,0,1952811.108734876,2.567375456693868,3.2910200079281395,4.416492146857219,0,3861,15143,5338,5476,1367,94.23,1,0
31013720,행궁동,0,1560870.4584030416,13.332444298074073,3.697673392980056,10.882434630096933,0,565,5274,3594,8073,3009,1.49,0,0
31014510,매탄1동,0,600865.9147399903,6.508583780152505,2.08943983267816,16.255599009926193,0,1829,7355,2520,1827,771,73.29,0,0
31014520,매탄2동,0,607867.9924610977,10.744016768863393,3.93198638524161,15.589261942474286,0,1905,8553,3472,4052,1136,62.91,0,0
31014530,매탄3동,0,3182368.1889605806,4.932850732574615,2.024820273610085,4.433271080314852,0,5950,23103,5459,45811,2546,89.87,2,0
31014540,매탄4동,0,744992.8615347812,7.182077146010281,2.110159723876152,13.59330564231444,0,2622,13116,4555,2401,1113,89.29,0,0
31014600,원천동,0,3236457.808396089,7.775233715667736,3.5419126654845443,4.596698351288513,0,9262,29818,6367,24527,4348,90.39,1,0
31014620,광교1동,0,7966171.854025573,3.956666509428095,1.7082661341997492,2.303172303806557,0,11212,35845,6015,32061,5300,87.6,2,0
31014630,광교2동,0,4142007.101563594,3.691679198935849,0.6485502371482922,1.5266209482912352,0,5848,17790,5074,13110,3411,98.42,2,0
31014640,영통1동,0,1687406.7071286,2.6916344190091985,2.684115146477354,4.962287591431244,0,6636,21431,5128,3750,1331,98.78,1,0
31014650,영통2동,0,1368287.5199494923,10.062245268119948,1.5530716167440497,7.253707152031708,0,3767,19084,2542,16848,3206,95.53,3,0
31014660,영통3동,0,1697975.628317635,11.329556404059296,2.118968352810746,5.754811829335556,0,5712,21478,4434,16347,4225,94.42,2,0
31014670,망포1동,0,1026629.8954054178,4.923522050156428,1.5914783728210549,9.916661422390971,0,7042,20244,4398,3837,1370,93.61,1,0
31014680,망포2동,0,1418998.8999447024,3.365895720607711,1.746807028456837,5.998636066245002,0,9202,21052,3208,4411,1376,96.39,1,0
31021510,신흥1동,0,322595.9436582764,19.43923853829032,1.6762304242351058,32.00575108803555,0,958,7502,4205,4156,1366,8.04,2,0
31021520,신흥2동,0,1140282.7340541172,2.00965227787644,1.512663527266261,5.421370684284288,0,4822,17673,6400,3537,1233,95.33,3,0
31021530,신흥3동,0,321158.54014481086,22.526643392860617,1.6036226470071977,23.63686370017432,0,846,6536,3445,4380,1487,8.53,3,0
31021540,태평1동,0,1341075.285343589,4.278052454518695,1.5448778780487529,8.545841457698575,0,1017,8722,4637,4917,1654,17.19,2,0
31021550,태평2동,0,482254.4131303171,12.47448756437834,2.679610689020281,24.550485897406137,0,1405,8674,4351,4028,1088,16.38,0,0
31021560,태평3동,0,371118.3766184005,12.408806573454804,4.964203669084688,26.23255976735706,0,1168,7212,4062,2617,1165,17.87,2,0
31021570,태평4동,0,404262.6538805044,6.536426518858534,3.219470251551277,25.02028079144665,0,1319,7075,3514,2193,731,25.36,0,0
31021580,수진1동,0,333161.68894740375,15.668751694919584,1.7220532983650436,33.944195753303546,0,764,6513,4287,2831,1400,3.1,4,0
31021590,수진2동,0,923875.4457980378,7.530524950183032,3.280268774162552,12.059186488925745,0,1449,8456,5110,5155,1390,46.13,3,0
31021600,단대동,0,802478.6311713601,4.554472123910382,3.4280536407873266,8.806612778433061,0,1897,8442,4235,3604,1008,57.08,3,0
31021610,산성동,0,584530.4312580619,4.902330411476251,6.298982693067622,16.98122826185163,0,599,2653,1471,971,301,0.0,2,0
31021620,양지동,0,1259358.8899351556,1.724110662272281,1.7214381420907927,5.173904143992727,0,1139,5374,2818,1976,588,21.13,1,0
31021640,신촌동,0,4979344.64251297,0.6073188704102689,0.3589821833731205,1.5585276325236057,0,879,2864,832,1239,300,61.48,0,0
31021650,고등동,0,12312881.271767534,0.588224412680332,0.36481493206108,0.6733273204840754,0,2111,7466,2299,5291,1340,88.68,0,0
31021660,시흥동,0,12939262.702320512,1.2366909267021708,0.5877438538197216,0.6460605495596891,0,263,2228,906,16814,1438,21.84,0,0
31021670,복정동,0,3556491.412175281,2.7075302989313466,2.7796243850284617,1.6620282391490655,0,936,7589,1832,9923,1484,0.0,5,0
31021680,위례동,0,3163805.103331231,3.561621950536856,1.5099444154129291,5.497511011398777,0,9186,26773,9028,17883,4511,95.74,4,0
31022510,성남동,0,1999238.5482690777,9.446316673893412,2.4915984962742805,8.66841743498913,0,2856,20378,9196,14022,4578,41.06,4,0
31022530,금광1동,0,605703.1643668589,4.932456339670067,3.75816561708078,10.169945886290368,0,3348,12311,3908,2528,893,90.22,1,0
31022540,금광2동,0,1093936.1946973717,6.1690769058119255,4.197201531809227,13.830986327570502,0,2811,14776,7104,5112,2030,41.36,2,0
31022550,은행1동,0,272917.98311842635,2.2571248236540025,2.421996809273633,17.195128016347418,0,1274,5893,2509,707,331,33.4,1,0
31022560,은행2동,0,2405438.6022241386,1.642151520571581,0.8029549348408235,5.086418080807379,0,2383,12916,6876,2649,1284,27.17,1,0
31022570,상대원1동,0,6785851.562659184,4.052092606286602,0.4950584561111492,2.145266178432538,0,2737,14443,7156,46392,6318,54.1,0,0
31022580,상대원2동,0,513822.1354737034,10.345287857872547,2.2164576269229657,23.258285057483057,0,316,1819,1034,4436,852,9.99,0,0
31022590,상대원3동,0,305658.1345080642,12.516666924768186,3.4206876081430964,32.57625216872351,0,1071,6654,4033,1828,1010,1.58,0,0
31022600,하대원동,0,2337584.1676375675,3.1104441744869296,1.3788205040817991,4.305485129868071,0,2587,11299,5707,5958,1802,65.09,2,0
