dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
31042640,호계3동,0,0,849850.4502457086,1.7213361605032462,0.0,47.97506833540054,849850.4502457086,1.7213361605032462,0.0,47.97506833540054,0,0,3626,13958,5576,5220,1499,93.38,93.38,0,0,0,3626,13958,5576,5220,1499,0
31042650,범계동,0,0,572755.3161361807,10.374419123832922,5.316669901106581,47.59715944481432,572755.3161361807,10.374419123832922,5.316669901106581,47.59715944481432,0,0,3110,9254,2962,12289,2649,100.0,100.0,0,1,1,3110,9254,2962,12289,2649,0
31042660,신촌동,0,0,400300.3214272032,4.3744275641774,0.0,60.84313166434656,400300.3214272032,4.3744275641774,0.0,60.84313166434656,0,0,2241,7276,2869,3139,988,96.42,96.42,0,0,0,2241,7276,2869,3139,988,0
31042670,갈산동,0,0,729835.2548982614,0.0,9.61832378319262,41.671239114008195,729835.2548982614,0.0,9.61832378319262,41.671239114008195,0,0,2032,5830,2653,1846,679,89.7,89.7,0,0,0,2032,5830,2653,1846,679,0
31050870,심곡동,0,0,,,,,,,,,0,0,5750,36110,17333,24149,7173,26.0,26.0,0,0,0,5750,36110,17333,24149,7173,0
31050880,부천동,0,0,,,,,,,,,0,0,10676,49845,24479,60159,13002,37.91,37.91,0,0,0,10676,49845,24479,60159,13002,0
31050890,중동,0,0,,,,,,,,,0,0,5622,23311,10989,20977,4502,58.76,58.76,0,0,0,5622,23311,10989,20977,4502,0
31050900,신중동,0,0,,,,,,,,,0,0,18824,78534,30332,53817,12687,93.21,93.21,0,0,0,18824,78534,30332,53817,12687,0
31050910,상동,0,0,,,,,,,,,0,0,15384,50940,16167,31197,8652,96.4,96.4,0,0,0,15384,50940,16167,31197,8652,0
31050920,대산동,0,0,,,,,,,,,0,0,9196,44098,23073,19428,6492,52.59,52.59,0,0,0,9196,44098,23073,19428,6492,0
31050930,소사본동,0,0,,,,,,,,,0,0,6834,30212,16684,11862,3844,58.92,58.92,0,0,0,6834,30212,16684,11862,3844,0
31050940,범안동,0,0,,,,,,,,,0,0,19019,58049,22895,20049,7127,81.15,81.15,0,0,0,19019,58049,22895,20049,7127,0
31050950,성곡동,0,0,,,,,,,,,0,0,9012,45499,23047,14144,5163,34.35,34.35,0,0,0,9012,45499,23047,14144,5163,0
31050960,오정동,0,0,,,,,,,,,0,0,9564,46762,21728,52553,12390,39.38,39.38,0,0,0,9564,46762,21728,52553,12390,0
31060510,광명1동,0,0,308585.6213347971,2.540617030724045,0.0,70.56291783118853,308585.6213347971,2.540617030724045,0.0,70.56291783118853,0,0,4,32,14,56,30,,,0,0,0,4,32,14,56,30,0
31060520,광명2동,0,0,258223.35765371565,4.8260194031842945,0.0,74.10025417822582,258223.35765371565,4.8260194031842945,0.0,74.10025417822582,0,0,242,1542,1137,777,291,3.85,3.85,0,1,1,242,1542,1137,777,291,0
31060530,광명3동,0,0,319192.974851939,2.52561675576114,0.0,69.3496788615869,319192.974851939,2.52561675576114,0.0,69.3496788615869,0,0,850,5155,3723,3680,1448,0.0,0.0,0,1,1,850,5155,3723,3680,1448,0
31060540,광명4동,0,0,289068.65681864636,0.0,0.0,82.89575758515878,289068.65681864636,0.0,0.0,82.89575758515878,0,0,790,4044,2858,2231,843,61.57,61.57,0,1,1,790,4044,2858,2231,843,0
31060550,광명5동,0,0,394641.84443441493,0.0,0.0,69.96619936532574,394641.84443441493,0.0,0.0,69.96619936532574,0,0,1632,6684,3687,1942,667,37.9,37.9,0,1,1,1632,6684,3687,1942,667,0
31060560,광명6동,0,0,2436247.680261526,0.7062590778188024,0.0,19.97309248636451,2436247.680261526,0.7062590778188024,0.0,19.97309248636451,0,0,2496,7840,3408,4771,1265,73.24,73.24,0,0,0,2496,7840,3408,4771,1265,0
31060570,광명7동,0,0,2321173.4571164264,0.5162732502069735,0.0,18.24386203440472,2321173.4571164264,0.5162732502069735,0.0,18.24386203440472,0,0,3456,12990,5603,3750,1177,68.44,68.44,0,1,1,3456,12990,5603,3750,1177,0
31060580,철산1동,0,0,568373.1667887825,2.267830512271307,0.1032848518126008,31.86565406200305,568373.1667887825,2.267830512271307,0.1032848518126008,31.86565406200305,0,0,1932,6426,2174,2139,457,99.68,99.68,0,1,1,1932,6426,2174,2139,457,0
31060590,철산2동,0,0,616783.9174592419,0.0,0.0,65.98962071705505,616783.9174592419,0.0,0.0,65.98962071705505,0,0,452,3097,1828,1820,556,2.19,2.19,0,1,1,452,3097,1828,1820,556,0
31060600,철산3동,0,0,1332741.6859004025,6.2131199156948895,6.264626364821592,46.869568899398175,1332741.6859004025,6.2131199156948895,6.264626364821592,46.869568899398175,0,0,7584,21509,7679,14209,2295,99.29,99.29,0,1,1,7584,21509,7679,14209,2295,0
31060610,철산4동,0,0,334981.5264609303,0.0,0.0,64.51058874561085,334981.5264609303,0.0,0.0,64.51058874561085,0,0,1612,5960,1817,743,386,99.51,99.51,0,1,1,1612,5960,1817,743,386,0
31060620,하안1동,0,0,3904565.9332712903,1.6892414794824464,4.3021370128677034,17.033074594051627,3904565.9332712903,1.6892414794824464,4.3021370128677034,17.033074594051627,0,0,4855,14586,5877,7667,1702,92.92,92.92,0,0,0,4855,14586,5877,7667,1702,0
31060630,하안2동,0,0,441554.9080447803,6.276914726804934,0.0,55.27237469303712,441554.9080447803,6.276914726804934,0.0,55.27237469303712,0,0,1557,8149,3496,2065,669,100.0,100.0,0,0,0,1557,8149,3496,2065,669,0
31060640,하안3동,0,0,576420.0696853575,7.685670968081598,0.0021867905809118,60.52240090971943,576420.0696853575,7.685670968081598,0.0021867905809118,60.52240090971943,0,0,2637,11039,5413,4943,1533,100.0,100.0,0,1,1,2637,11039,5413,4943,1533,0
31060650,하안4동,0,0,430821.96096324327,0.0,2.705639152256797,44.57715287557528,430821.96096324327,0.0,2.705639152256797,44.57715287557528,0,0,1889,7530,2416,1250,456,100.0,100.0,0,1,1,1889,7530,2416,1250,456,0
31060660,소하1동,0,0,3754836.938532936,0.3697968673222934,0.0001720717338042,9.6376943363856,3754836.938532936,0.3697968673222934,0.0001720717338042,9.6376943363856,0,0,6261,17372,6578,23983,3052,94.4,94.4,0,2,2,6261,17372,6578,23983,3052,0
31060680,학온동,0,0,12912992.762903228,0.6585924151086032,0.0,4.893933697141098,12912992.762903228,0.6585924151086032,0.0,4.893933697141098,0,0,126,851,927,6326,1744,0.0,0.0,0,0,0,126,851,927,6326,1744,0
31060690,소하2동,0,0,3899319.9038504446,2.013825594880237,0.4002027388055089,11.436294618670924,3899319.9038504446,2.013825594880237,0.4002027388055089,11.436294618670924,0,0,3959,15055,7623,4432,1414,61.21,61.21,0,0,0,3959,15055,7623,4432,1414,0
31060700,일직동,0,0,3449914.184013159,0.0,0.2939638845799136,4.584426236829531,3449914.184013159,0.0,0.2939638845799136,4.584426236829531,2,2,4470,14781,2493,20617,3835,97.23,97.23,0,1,1,4470,14781,2493,20617,3835,0
31070110,팽성읍,0,0,56841957.484253354,0.3091118058322954,0.3498085790705968,5.933757462992919,56841957.484253354,0.3091118058322954,0.3498085790705968,5.933757462992919,0,0,3277,15314,9749,11356,2857,33.65,33.65,0,0,0,3277,15314,9749,11356,2857,0
31070120,안중읍,0,0,28552058.997973815,1.059109121942697,0.5173428568163347,6.370567944757391,28552058.997973815,1.059109121942697,0.5173428568163347,6.370567944757391,0,0,8181,26407,8150,13694,3913,75.15,75.15,0,0,0,8181,26407,8150,13694,3913,0
31070130,포승읍,0,0,61908938.41224864,0.896991563690982,0.0410683823726718,3.85756540634393,61908938.41224864,0.896991563690982,0.0410683823726718,3.85756540634393,0,0,3058,15267,5314,28233,3380,61.64,61.64,0,0,0,3058,15267,5314,28233,3380,0
31070140,청북읍,0,0,52484366.58124488,0.1144642120373213,0.1818995302195644,3.0871379164404007,52484366.58124488,0.1144642120373213,0.1818995302195644,3.0871379164404007,0,0,6609,15494,4532,23651,3240,76.07,76.07,0,0,0,6609,15494,4532,23651,3240,0
31070310,진위면,0,0,33968295.127694786,0.2801192642866718,0.1934112414327105,4.24506757581802,33968295.127694786,0.2801192642866718,0.1934112414327105,4.24506757581802,0,0,1059,6318,3755,25097,2074,44.31,44.31,0,1,1,1059,6318,3755,25097,2074,0
