철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
인천시청역,지하철,인천1호선,"[23050530, 23050550, 23050561]","[23050510, 23050521, 23050530, 23050550, 23050561, 23050580, 23090680, 23090700]",ST000087
인천시청역,지하철,인천2호선,"[23050530, 23050550, 23050561]","[23050510, 23050521, 23050530, 23050550, 23050561, 23050580, 23090680, 23090700]",ST000087
인천역,지하철,1호선,"[23010530, 23010580, 23010670]","[23010530, 23010580, 23010670, 23020510]",ST000472
인천역,지하철,수인분당선,"[23010530, 23010580, 23010670]","[23010530, 23010580, 23010670, 23020510]",ST000472
인천터미널역,지하철,인천1호선,"[23040520, 23050530, 23090730, 23090740]","[23040520, 23050510, 23050530, 23090720, 23090730, 23090740]",ST000056
인하대역,지하철,수인분당선,"[23090560, 23090570, 23090590, 23090600, 23090760]","[23090560, 23090570, 23090590, 23090600, 23090610, 23090760]",ST000475
일산역,지하철,경의중앙선,"[31104510, 31104520, 31104530]","[31103511, 31103512, 31103530, 31104510, 31104511, 31104513, 31104520, 31104530, 31104550, 31104560, 31104570]",ST000616
일산역,지하철,서해선,"[31104510, 31104520, 31104530]","[31103511, 31103512, 31103530, 31104510, 31104511, 31104513, 31104520, 31104530, 31104550, 31104560, 31104570]",ST000616
일원역,지하철,3호선,[11230720],"[11220680, 11230511, 11230720, 11230730, 11230750, 11230760, 11230800]",ST000176
임진강역,지하철,경의중앙선,[31200110],[31200110],ST000607
임학역,지하철,인천1호선,"[23070540, 23070550, 23070610, 23070620]","[23070530, 23070540, 23070550, 23070580, 23070610, 23070620, 23070630]",ST000046
자양역,지하철,7호선,"[11050660, 11050670]","[11040670, 11050530, 11050640, 11050650, 11050660, 11050670, 11230580, 11230780, 11240790]",ST000704
