dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1114076,서강동,서울특별시,마포구,3830,16858,4477,12679,1736,2019,2019
1114077,공덕동,서울특별시,마포구,5026,26166,8584,18018,2577,2019,2019
1114078,아현동,서울특별시,마포구,4271,16099,4486,10869,1552,2019,2019
1115051,목1동,서울특별시,양천구,8264,19107,4569,21601,2807,2019,2019
1115052,목2동,서울특별시,양천구,4673,20468,6050,4345,1018,2019,2019
1115053,목3동,서울특별시,양천구,3108,15005,4791,4587,1129,2019,2019
1115054,목4동,서울특별시,양천구,5191,16923,4555,3791,1193,2019,2019
1115057,신월1동,서울특별시,양천구,2586,13035,5809,4870,1452,2019,2019
1115058,신월2동,서울특별시,양천구,3514,12893,5524,3603,835,2019,2019
1115059,신월3동,서울특별시,양천구,2275,9936,4264,3768,707,2019,2019
1115060,신월4동,서울특별시,양천구,3443,11045,4444,3917,828,2019,2019
1115061,신월5동,서울특별시,양천구,2489,9514,3405,4668,813,2019,2019
1115062,신월6동,서울특별시,양천구,1114,3783,1676,2188,395,2019,2019
1115063,신월7동,서울특별시,양천구,2796,12645,6019,5040,958,2019,2019
1115064,신정1동,서울특별시,양천구,5073,12620,3719,5273,1126,2019,2019
1115065,신정2동,서울특별시,양천구,4382,12349,3769,3711,996,2019,2019
1115066,신정3동,서울특별시,양천구,9378,28639,9701,8791,1321,2019,2019
1115069,신정6동,서울특별시,양천구,5929,15420,3930,6868,666,2019,2019
1115070,신정7동,서울특별시,양천구,5683,18242,6770,4231,804,2019,2019
1115071,목5동,서울특별시,양천구,11335,25190,6360,10652,1517,2019,2019
1115072,신정4동,서울특별시,양천구,4506,22069,8188,15141,2792,2019,2019
1116051,염창동,서울특별시,강서구,8998,27050,6407,16915,1933,2019,2019
1116052,등촌1동,서울특별시,강서구,2937,16591,3968,15596,1645,2019,2019
1116053,등촌2동,서울특별시,강서구,3301,13836,4599,3390,586,2019,2019
1116054,등촌3동,서울특별시,강서구,4228,19057,9025,18959,2240,2019,2019
1116055,화곡본동,서울특별시,강서구,5280,23276,6929,3899,1104,2019,2019
1116057,화곡2동,서울특별시,강서구,3036,12009,4118,2555,678,2019,2019
1116058,화곡3동,서울특별시,강서구,3169,13587,5780,4000,1052,2019,2019
1116059,화곡4동,서울특별시,강서구,2805,13572,5297,3772,1253,2019,2019
1116061,화곡6동,서울특별시,강서구,3203,16025,5672,10677,1579,2019,2019
1116063,화곡8동,서울특별시,강서구,3386,16578,6032,3942,1057,2019,2019
1116064,가양1동,서울특별시,강서구,3971,25122,4713,56169,5561,2019,2019
1116065,가양2동,서울특별시,강서구,1101,8489,5462,3283,533,2019,2019
1116066,가양3동,서울특별시,강서구,1547,9701,4838,7178,708,2019,2019
1116067,발산1동,서울특별시,강서구,9041,22643,6664,19413,3000,2019,2019
1116069,공항동,서울특별시,강서구,4523,17347,5502,35996,1806,2019,2019
1116070,방화1동,서울특별시,강서구,9044,27085,9227,10531,2153,2019,2019
1116071,방화2동,서울특별시,강서구,2866,14285,6565,12485,1785,2019,2019
1116072,방화3동,서울특별시,강서구,3231,14165,6915,4453,609,2019,2019
1116073,화곡1동,서울특별시,강서구,5950,35712,11758,10395,2607,2019,2019
1116074,우장산동,서울특별시,강서구,9793,26709,8076,7719,1402,2019,2019
1117051,신도림동,서울특별시,구로구,7431,22800,6618,14957,2620,2019,2019
1117052,구로1동,서울특별시,구로구,4118,13705,3798,3427,552,2019,2019
1117054,구로3동,서울특별시,구로구,3059,16581,4640,92259,7763,2019,2019
1117055,구로4동,서울특별시,구로구,2254,12773,5884,5895,1984,2019,2019
1117056,구로5동,서울특별시,구로구,3810,19630,6372,25206,3154,2019,2019
1117061,고척1동,서울특별시,구로구,3584,14144,5978,9875,2298,2019,2019
1117062,고척2동,서울특별시,구로구,4505,16897,6932,3899,1182,2019,2019
1117064,개봉2동,서울특별시,구로구,5093,18885,8545,3059,910,2019,2019
1117065,개봉3동,서울특별시,구로구,2996,12774,5730,7162,791,2019,2019
1117067,오류1동,서울특별시,구로구,2644,14592,5327,4614,1008,2019,2019
1117069,수궁동,서울특별시,구로구,3827,14699,5997,5889,948,2019,2019
1117070,가리봉동,서울특별시,구로구,634,5841,2875,3116,930,2019,2019
1117071,구로2동,서울특별시,구로구,2614,15077,7622,27882,7402,2019,2019
1117072,개봉1동,서울특별시,구로구,4736,19446,8538,5167,1381,2019,2019
1117073,오류2동,서울특별시,구로구,10775,30902,10982,7673,1169,2019,2019
1117074,항동,서울특별시,구로구,0,0,0,1019,95,2019,2019
1118051,가산동,서울특별시,금천구,1564,15769,3694,170646,16423,2019,2019
1118052,독산1동,서울특별시,금천구,5678,27788,7955,24871,3667,2019,2019
1118053,독산2동,서울특별시,금천구,2352,12208,4884,3312,952,2019,2019
1118054,독산3동,서울특별시,금천구,2697,16046,6418,6254,1841,2019,2019
1118055,독산4동,서울특별시,금천구,1814,10108,4074,2993,857,2019,2019
1118057,시흥1동,서울특별시,금천구,4562,21297,8476,15424,2774,2019,2019
1118058,시흥2동,서울특별시,금천구,4012,12921,5608,1748,390,2019,2019
1118059,시흥3동,서울특별시,금천구,1387,6717,3256,9900,2984,2019,2019
1118060,시흥4동,서울특별시,금천구,2902,12790,5668,1762,581,2019,2019
1118061,시흥5동,서울특별시,금천구,2583,11804,5778,3340,911,2019,2019
1119054,여의동,서울특별시,영등포구,5979,20044,8199,160524,8097,2019,2019
1119055,당산1동,서울특별시,영등포구,2377,13923,4689,19152,3025,2019,2019
1119056,당산2동,서울특별시,영등포구,4997,24535,6351,22840,2182,2019,2019
1119061,양평1동,서울특별시,영등포구,2444,12118,3338,22882,1881,2019,2019
1119062,양평2동,서울특별시,영등포구,3522,15300,3719,19787,2044,2019,2019
1119063,신길1동,서울특별시,영등포구,1678,11500,4486,5178,991,2019,2019
1119065,신길3동,서울특별시,영등포구,2515,10476,4344,2303,765,2019,2019
1119066,신길4동,서울특별시,영등포구,971,5349,2657,1368,338,2019,2019
1119067,신길5동,서울특별시,영등포구,1102,5322,2631,2476,446,2019,2019
1119068,신길6동,서울특별시,영등포구,2312,11405,4481,4769,1096,2019,2019
1119069,신길7동,서울특별시,영등포구,3199,10543,3113,2873,561,2019,2019
1119070,대림1동,서울특별시,영등포구,1365,7748,3772,4431,977,2019,2019
1119071,대림2동,서울특별시,영등포구,1207,7752,3714,4461,1305,2019,2019
1119072,대림3동,서울특별시,영등포구,3019,14666,6045,9931,2012,2019,2019
1119073,영등포본동,서울특별시,영등포구,3023,13294,5633,5223,1266,2019,2019
1119074,영등포동,서울특별시,영등포구,2196,19179,5075,34349,5849,2019,2019
1119075,도림동,서울특별시,영등포구,2151,12022,4463,2814,860,2019,2019
1119076,문래동,서울특별시,영등포구,6249,19157,6329,44563,5195,2019,2019
1120052,노량진2동,서울특별시,동작구,1026,8060,3698,7727,1654,2019,2019
1120053,상도1동,서울특별시,동작구,6688,29543,9588,8612,1556,2019,2019
1120054,상도2동,서울특별시,동작구,4451,18256,6165,5174,1275,2019,2019
1120055,상도3동,서울특별시,동작구,3241,16446,5939,3277,811,2019,2019
1120056,상도4동,서울특별시,동작구,3967,18727,6774,2848,751,2019,2019
