dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct
11080650,정릉4동,0,3570972.76,1.09,0.0,17.28,0,3161,13748,7118,5112,1474,56.91,2,0,0.001431542703782956,0.00041277268102035935,5.600714803532692e-07,81.63
11080660,길음1동,0,797325.9,2.43,2.98,77.25,0,7905,20125,6722,4178,1576,96.76,2,0,0.005240015406432426,0.00197660705613631,2.5083845890054696e-06,17.340000000000003
11080680,길음2동,0,588011.39,20.89,0.0,63.99,0,4068,12929,4682,5598,1539,93.36,2,0,0.009520223749245398,0.0026172962397443137,3.40129465853712e-06,15.120000000000005
11080710,월곡1동,0,801770.14,4.91,3.78,67.34,0,4028,14516,7035,5543,1668,74.75,2,0,0.006913452775792904,0.002080396758077316,2.4944805252725616e-06,23.97
11080720,월곡2동,0,1364923.18,1.81,11.78,36.06,0,2134,11495,5280,10384,1938,59.32,3,0,0.007607754159412783,0.0014198601272093579,2.197925893512938e-06,50.349999999999994
11080760,장위1동,0,708557.66,0.0,0.0,85.63,0,3197,13789,6385,3227,1481,23.16,0,0,0.0045543223679981905,0.0020901615825860923,0.0,14.370000000000005
11080770,장위2동,0,679904.93,4.03,0.0,79.43,0,1255,7448,4416,3532,1360,8.98,2,0,0.005194843932000981,0.002000279656716119,2.9415877304648814e-06,16.539999999999992
11080780,장위3동,0,652611.89,2.06,0.0,77.47,0,2783,9344,3400,2000,754,85.19,3,0,0.0030646085837776477,0.0011553574360841732,4.596912875666471e-06,20.47
11080810,성북동,0,2879959.41,1.06,0.68,42.76,0,1678,9981,4266,7480,1764,10.83,3,0,0.0025972588273298013,0.000612508632541413,1.041681347859546e-06,55.5
11080820,삼선동,0,926242.04,6.93,1.7,61.55,0,2474,14047,5677,10727,2472,44.49,7,0,0.011581206139039195,0.0026688488464346872,7.557419872590134e-06,29.820000000000007
11080830,동선동,0,724795.74,4.62,0.1,54.78,0,1238,10766,3002,10928,2601,26.28,5,0,0.015077351309831412,0.003588597250811814,6.8984952918335525e-06,40.5
11080840,종암동,0,1404550.54,4.9,0.8,54.4,0,5501,22123,10059,8511,2698,65.65,3,0,0.006059589710413271,0.0019208991938309253,2.1359145965503247e-06,39.9
11080850,석관동,0,1705088.72,0.61,6.2,46.15,0,3633,19439,10718,9303,2576,45.55,7,0,0.0054560210802083306,0.0015107718265738642,4.1053582243855006e-06,47.04
11090600,번1동,0,627046.16,6.78,0.0,72.24,0,1341,10779,5254,9154,2252,24.88,2,0,0.014598606265053937,0.0035914421355583864,3.189557846854695e-06,20.980000000000004
11090610,번2동,0,974313.64,3.53,0.0,42.45,0,1331,7875,5669,3306,717,39.8,1,0,0.0033931578746717213,0.0007359026606592934,1.0263635434578709e-06,54.019999999999996
11090620,번3동,0,1081194.33,3.81,0.0,24.01,0,1794,8200,6360,2933,832,94.81,0,0,0.00271274082613148,0.0007695193887969285,0.0,72.18
11090630,수유1동,0,1649989.82,3.76,0.0,32.38,0,1918,11372,6570,5823,1753,10.14,3,0,0.003529112682625344,0.001062430797293874,1.8181930358708624e-06,63.86
11090640,수유2동,0,581626.13,9.47,0.0,78.79,0,2065,11202,7255,4118,1659,36.42,2,0,0.007080149579815472,0.0028523477787551887,3.438635055762735e-06,11.739999999999995
11090650,수유3동,0,745657.28,11.08,0.0,71.74,0,1594,14392,7009,8885,2992,15.97,3,0,0.011915661843844459,0.004012567274820779,4.023296064325647e-06,17.180000000000007
11090690,삼양동,0,924107.03,2.71,0.0,69.59,0,2574,12641,7193,3522,1301,39.32,4,0,0.003811246842221174,0.0014078455825467767,4.328502944033133e-06,27.700000000000003
11090700,미아동,0,841218.37,8.06,0.73,54.93,0,1701,12396,6756,6790,2088,17.62,4,0,0.008071625920293781,0.0024821141268885735,4.755007905916808e-06,36.28
11090710,송중동,0,1075813.38,3.99,2.64,67.26,0,3127,16570,8926,8670,2670,35.53,2,0,0.00805901856316326,0.0024818430869257098,1.8590584920791833e-06,26.11
11090720,송천동,0,929928.26,5.94,0.84,73.55,0,2087,13633,9035,6849,2304,18.23,4,0,0.00736508426996976,0.0024776104771514567,4.301407078387946e-06,19.67
11090730,삼각산동,0,621921.15,0.0,0.0,92.24,0,6041,17641,6924,3210,1465,99.29,2,0,0.00516142601027218,0.002355604082569702,3.2158417509483985e-06,7.760000000000005
11090740,우이동,0,10587928.05,0.54,0.84,6.87,0,2069,10840,6906,5267,1385,12.72,4,0,0.0004974533237402407,0.0001308093513157838,3.777887402621915e-07,91.75
11090750,인수동,0,2998060.8,2.14,2.79,29.96,0,3074,15778,10221,6251,1932,7.74,3,0,0.0020850144199807924,0.0006444165508563255,1.0006468180998842e-06,65.11
11100510,쌍문1동,0,1175793.51,2.8,0.88,50.77,0,2289,11569,6785,4217,1118,28.13,3,0,0.003586514098010402,0.0009508472282607611,2.551468412148733e-06,45.55
11100520,쌍문2동,0,541201.52,13.36,0.0,72.09,0,1922,10071,5917,4733,1370,44.36,1,0,0.008745356073487278,0.002531404568070478,1.8477405606353851e-06,14.549999999999997
11100530,쌍문3동,0,504813.81,9.25,5.38,65.93,0,1590,9766,5096,4645,1227,37.04,1,0,0.009201412298740374,0.0024305991152969724,1.980928374325161e-06,19.439999999999998
